year,month,day,country,region,state,city,attack_type,weapon_type,target_type,number_of_kills,number_of_wounded,property_damaged,lof_score,is_outlier
1995,7,21,Australia,Australasia & Oceania,Australian Capital Territory,Canberra,Unknown,Unknown,Government (Diplomatic),0.0,0.0,1,2445103712.5826073,True
1995,7,28,Germany,Western Europe,North Rhine-Westphalia,Cologne,Hijacking,Unknown,Tourists,3.0,3.0,0,2326418080.8195534,True
1995,8,2,Azerbaijan,Central Asia,Baku,Baku,Assassination,Explosives,Government (General),0.0,0.0,0,220300925.7294498,True
1995,8,4,Russia,Eastern Europe,Moscow,Moscow,Assassination,Chemical,Business,2.0,0.0,0,300139704.6979133,True
1995,8,21,Papua New Guinea,Australasia & Oceania,Bougainville,Soraken,Armed Assault,Incendiary,Government (General),0.0,0.0,1,1990309988.3406322,True
1995,8,21,Papua New Guinea,Australasia & Oceania,Bougainville,Arawa,Armed Assault,Incendiary,Government (General),0.0,0.0,1,1990309988.3406322,True
1995,8,29,United States,North America,Florida,St. Petersburg,Facility/Infrastructure Attack,Incendiary,Abortion Related,0.0,2.0,1,232877192.12505555,True
1995,9,8,West Bank and Gaza Strip,Middle East & North Africa,West Bank,Halhol,Facility/Infrastructure Attack,Firearms,Private Citizens & Property,1.0,0.0,1,332526904.62804246,True
1995,9,8,Australia,Australasia & Oceania,Australian Capital Territory,Canberra,Unknown,Unknown,Business,0.0,0.0,0,2445103712.5826073,True
1995,9,9,Egypt,Middle East & North Africa,Qena,Farshout,Facility/Infrastructure Attack,Firearms,Business,1.0,0.0,1,332526904.62804246,True
1995,9,11,Chile,South America,Santiago Metropolitan,Santiago,Unarmed Assault,Melee,Police,1.0,5.0,1,729392599.1143367,True
1995,9,21,Russia,Eastern Europe,Dagestan,Makhachkala,Hijacking,Firearms,Transportation,0.0,2.0,0,665199241.52029,True
1995,9,26,Mexico,North America,Guerrero,La Cebada,Assassination,Firearms,Business,4.0,0.0,0,410178469.02056015,True
1995,9,27,Colombia,South America,Bogota,Bogota,Assassination,Firearms,Private Citizens & Property,2.0,2.0,0,350083514.49891794,True
1995,9,28,Tajikistan,Central Asia,Dushanbe,Dushanbe,Assassination,Firearms,Military,2.0,2.0,0,312844457.43657726,True
1995,10,2,Georgia,Central Asia,Shida Kartli,Tskhinvali,Assassination,Explosives,Private Citizens & Property,0.0,0.0,0,220300925.7294498,True
1995,10,3,Papua New Guinea,Australasia & Oceania,Bougainville,Buin,Unknown,Unknown,Educational Institution,0.0,0.0,1,2445103712.5826073,True
1995,10,4,Papua New Guinea,Australasia & Oceania,Bougainville,Buin,Assassination,Firearms,Military,1.0,1.0,0,1105024248.4685717,True
